n1	n2	n3	n4	n5	year	codificado	devengado	count
11	15	10	16	138	2019	159228.6	0	4
11	15	10	16	140	2020	0	0	3
11	15	10	19	142	2019	2184587.19	0	1
11	15	10	14	143	2019	501480.9	0	1
11	15	10	14	143	2020	538506.62	0	1
11	15	10	16	145	2017	0	0	1
11	11	10	16	150	2017	141295.72	70647.86	1
11	11	10	16	150	2018	416691.08	0	1
11	12	10	14	151	2021	46144298.39	17894923.6	1
11	15	10	16	154	2017	1170982830	565685541.1	1
11	15	10	16	154	2018	9643529.25	3812759.23	1
11	15	10	16	154	2019	8091005.37	1326684.94	1
11	15	10	16	155	2017	434010599.8	9964193.58	9
11	15	10	16	155	2018	166590842.9	3223569.33	3
11	15	10	16	155	2019	40920655.32	22226093.79	3
11	15	10	14	156	2019	131750536.4	24235680.28	1
11	15	10	14	156	2020	99410548.23	30960855.73	1
11	15	10	14	156	2021	66417403.69	22555368.99	1
11	15	10	16	156	2017	336118303.5	68064556.59	6
11	15	10	16	156	2018	355720855.2	61213086.69	3
11	15	10	16	156	2019	37969866	284353.5	3
11	11	10	14	161	2019	7877488.95	0	1
11	15	10	14	161	2019	9690220.25	0	4
11	11	10	14	161	2020	6301991.16	0	1
11	15	10	14	161	2020	97602922.94	1378849.74	3
11	11	10	14	161	2021	10339778.67	0	1
11	15	10	14	161	2021	96207007.16	1320991.74	2
11	15	10	16	161	2019	15161912.47	1633401.33	1
11	15	10	14	162	2019	40621476.2	5697469.92	4
11	15	10	14	162	2020	30905376.6	11153652.14	6
11	15	10	16	162	2019	806819.65	113887.53	2
11	15	10	14	162	2021	21234702.24	9533587.4	6
11	15	10	14	164	2019	685094098.2	9644311.64	12
11	15	10	14	164	2020	258780859.1	20885570.72	10
11	15	10	14	164	2021	55435966.12	1890504	10
11	15	10	16	164	2018	1067069199	44106188.18	27
11	15	10	16	164	2019	128973055.8	3684543.66	17
11	15	10	16	175	2017	0	0	1
11	15	10	16	175	2018	81783544.71	0	2
11	15	10	16	178	2019	23940344.49	1591952.83	1
11	15	10	16	178	2020	0	0	1
11	12	10	16	182	2017	28874.2	408.22	2
11	12	10	16	182	2018	7957163.68	0	4
11	12	10	16	182	2019	2752575.72	2340763.32	2
11	12	10	14	186	2021	8153.6	0	1
11	15	10	16	186	2019	30296.48	504	2
11	15	10	12	187	2020	323328.2	32092.48	3
11	15	10	12	187	2021	36199.6	0	3
11	15	10	16	187	2019	180000	69436.82	3
11	15	10	16	187	2021	126900	2864.48	2
11	12	10	16	190	2017	27585.06	0	6
11	12	10	16	190	2018	180291.27	0	9
11	12	10	16	190	2019	69078.15	0	6
11	15	10	19	190	2017	1000	0	1
11	15	10	19	190	2018	9000	0	1
11	15	10	12	192	2020	656209	46961.18	1
11	15	10	12	192	2021	46970	0	1
11	15	10	16	192	2017	0	0	2
11	15	10	12	195	2020	37360.18	16981.9	1
11	15	10	12	195	2021	3396.38	0	1
11	15	10	16	195	2017	39592937.07	9257453.37	6
11	15	10	16	195	2018	27171097.89	6113045.19	3
11	15	10	16	195	2019	3516942.27	1496848.65	3
11	15	10	12	197	2020	87419.03	0	1
11	11	10	14	198	2021	3256104.24	0	1
11	15	10	16	199	2018	2116435.2	0	4
11	15	10	16	199	2019	4119489.92	0	4
11	15	10	16	199	2020	1171598.08	631514.76	4
11	15	10	16	199	2021	585799.04	0	4
12	21	10	14	13	2019	45748978.94	1219743.35	1
12	21	10	14	13	2020	35771247.8	2167687	2
12	21	10	14	13	2021	23257170.76	25370	2
12	21	10	16	13	2017	0	0	2
12	21	10	16	13	2019	1170953.6	292738.4	2
12	18	10	14	14	2019	64053732.56	21884245.96	4
12	18	10	14	14	2020	68466917.88	29315186.06	4
12	18	10	14	14	2021	51490983.2	16481269.44	4
12	18	10	16	14	2018	63050131.14	22911197.7	4
12	18	10	16	14	2019	2843193.44	723287.76	4
12	18	10	16	17	2017	18631338	10451244.78	2
12	21	10	16	18	2017	597890	424503.9	4
12	21	10	16	18	2018	6055782.72	1227322.94	2
12	20	10	16	19	2017	195030928.3	181818227	2
12	21	10	16	19	2017	15755133	12094183	2
12	20	10	16	19	2018	1349625	1214662.5	1
12	21	10	16	19	2018	27877504.44	1607095	2
12	20	10	16	31	2017	2487560.48	1356006.4	2
12	20	10	16	31	2018	8965075.26	34069.46	2
12	20	10	16	34	2017	0	0	2
12	20	10	16	34	2020	94239.8	0	2
12	20	10	16	34	2021	565438.8	0	2
12	20	10	14	52	2020	46174856.48	0	2
12	20	10	14	52	2021	27680380.4	0	2
12	20	10	16	52	2017	627451.68	0	2
12	20	10	16	52	2018	103216767.1	201576.66	2
12	20	10	16	52	2019	1438899.44	268382.44	2
12	20	10	16	54	2017	3412281.39	1394496.51	2
12	20	10	16	54	2018	31337370.08	361901.48	1
12	21	10	16	57	2017	182207963.3	24774983.56	6
12	21	10	16	57	2018	224255444.2	14659966.06	6
12	21	10	16	57	2019	168900677.6	28550283.52	4
12	21	10	16	57	2020	0	0	4
12	21	10	16	57	2021	3736056.58	0	2
12	20	10	12	58	2020	246977.85	25090.78	19
12	21	10	12	58	2020	115003.79	7620.13	8
12	20	10	12	58	2021	21038	0	19
12	21	10	12	58	2021	6553.67	0	5
12	20	10	14	58	2021	3049.13	1149.13	2
12	20	10	16	58	2018	514374.89	100844.7	11
12	21	10	16	58	2018	2743224.27	632450.89	9
12	20	10	16	58	2019	390710.74	65554.13	13
12	21	10	16	58	2019	279591.95	79914.7	7
12	20	10	17	58	2018	47077.55	13346.4	1
12	21	10	17	58	2018	47917.46	1680	1
12	20	10	19	58	2017	194774.41	65705.93	9
12	21	10	19	58	2017	107841.86	59125.86	4
12	21	10	14	63	2019	15638.28	1045	1
12	20	10	16	63	2017	172031695.6	5712566	3
12	21	10	16	63	2017	2981629.81	791814.53	2
12	20	10	16	63	2018	68909660.3	27506695.62	2
12	21	10	16	63	2018	97109.2	0	1
12	20	10	16	66	2018	4702900.38	1364101.04	1
12	20	10	16	66	2019	54952.51	10192.43	1
12	20	10	16	66	2020	0	0	1
12	20	10	14	67	2020	1149396.24	731386.48	1
12	20	10	16	67	2020	0	0	1
12	20	10	14	67	2021	2293824.48	174446.04	1
12	21	10	11	70	2018	601975.36	18647.41	1
12	21	10	11	70	2019	2596620.32	462847.69	1
12	21	10	11	70	2020	2063877.14	120732.32	5
12	21	10	11	70	2021	4241291.76	1080270.36	4
12	20	10	14	71	2019	0	0	1
12	20	10	16	71	2017	16838945.42	7458181.5	2
12	20	10	16	71	2018	14364896.72	6158932.86	2
12	21	10	16	74	2017	663532.5	663532.5	2
12	20	10	16	78	2017	2564286.06	1110825.34	2
12	20	10	16	78	2018	5970132.58	9713.52	2
12	20	10	19	78	2021	0	0	1
12	21	10	11	79	2017	1208170.5	279350.01	1
12	21	10	11	79	2018	1016626.68	380701.64	1
12	21	10	16	79	2017	1019214.53	512380.69	2
12	21	10	16	79	2018	296110.3	0	1
12	20	10	14	80	2019	48584891.56	0	1
12	21	10	16	80	2018	561954.95	115656.68	1
12	18	10	16	82	2017	2417090.72	1212132.13	2
12	18	10	16	82	2020	0	0	1
12	20	10	11	84	2017	705513.1	282335.31	3
12	20	10	11	84	2018	2009524.8	198872.91	4
12	20	10	11	84	2019	1368978.8	462801.38	1
12	21	10	11	84	2019	1860344.25	5026.5	3
12	20	10	11	84	2020	566501.63	206731.62	1
12	21	10	11	84	2020	9585131.54	294279.05	5
12	20	10	11	84	2021	532168.32	326787.21	1
12	21	10	11	84	2021	5536643.54	1740579.93	5
12	20	10	14	84	2019	15133095.3	5536249.58	1
12	21	10	14	84	2019	483190.44	0	1
12	20	10	14	84	2020	15357374.98	2821772.45	1
12	21	10	14	84	2020	1486163.6	293088	1
12	20	10	14	84	2021	12647330.09	3879879.1	1
12	21	10	14	84	2021	148616.36	0	1
12	20	10	16	84	2017	13185028.14	6496634.19	3
12	21	10	16	84	2017	31020740.12	20383020.76	8
12	20	10	16	84	2018	129889955.5	39991711.14	3
12	21	10	16	84	2018	22606083.52	11907609.8	7
12	20	10	16	84	2019	2515425.33	1304613	4
12	21	10	16	84	2019	6959401.38	0	5
12	20	10	16	86	2017	0	0	6
12	20	10	16	86	2018	3150265.32	1325063.22	3
12	21	10	16	89	2017	0	0	1
12	21	10	14	90	2019	33400438.92	7559301.76	2
12	21	10	14	90	2020	13881571.08	2093480.76	2
12	21	10	16	90	2017	1510206	747726.4	1
12	21	10	16	90	2018	14011732.07	4296374.76	1
12	21	10	16	90	2019	1208852.55	263594.87	1
12	21	10	14	90	2021	1119319	0	2
12	21	10	14	91	2020	2890192.61	2190686.21	3
12	21	10	14	91	2021	217173713	3486175.26	4
12	20	10	19	92	2017	489427.32	126209.46	2
12	21	10	19	92	2017	194341.2	0	3
12	20	10	19	92	2018	9853.72	0	1
12	21	10	19	92	2018	123671.68	0	2
12	21	10	14	96	2019	21350689.74	0	2
12	21	10	14	96	2020	7092472.8	4116379.68	2
12	21	10	14	96	2021	4095483.68	0	2
12	18	10	16	96	2017	89604982.18	45629385.64	6
