n1	n2	n3	n4	n5	anio	codificado	devengado	count
10	10	11	10	54	2017	66233.9	59610.42	1
10	10	11	14	54	2020	227148	124403	1
10	10	11	16	54	2017	11602651.52	3438889.28	1
10	10	11	16	54	2018	6101760	0	1
10	10	11	14	55	2021	113574	0	1
10	10	11	16	56	2020	0	0	1
10	10	11	17	56	2020	0	0	1
11	15	10	12	57	2020	1468038	36800.62	1
11	15	10	12	57	2021	347308.46	10182.09	1
11	15	10	16	57	2017	75734101.8	18595900.2	16
11	15	10	16	57	2018	30671929.16	7314611.44	12
11	15	10	16	57	2019	23839085.6	2480887.96	8
11	15	10	16	57	2020	0	0	4
12	21	10	16	57	2017	182207963.3	24774983.56	6
12	21	10	16	57	2018	224255444.2	14659966.06	6
12	21	10	16	57	2019	168900677.6	28550283.52	4
12	21	10	16	57	2020	0	0	4
12	21	10	16	57	2021	3736056.58	0	2
13	26	10	12	57	2020	29086.4	0	1
13	26	10	16	57	2017	31542453	14878582.8	3
13	26	10	16	57	2018	1739601.24	1454796	6
13	26	10	16	57	2019	193536	10810.8	3
14	39	10	16	57	2017	87259102.87	21688498.82	20
14	41	10	16	57	2017	992050.52	90684	1
14	42	10	16	57	2017	523500745.2	81517756.93	21
14	39	10	16	57	2018	37186514.88	9258242.26	17
14	42	10	16	57	2018	584387150.7	41719727.47	21
14	39	10	16	57	2019	28823158.27	3674039.15	11
14	42	10	16	57	2019	443291214.8	74417744.26	13
14	39	10	16	57	2020	0	0	6
14	42	10	16	57	2020	0	0	13
14	42	10	16	57	2021	9340141.45	0	5
14	39	10	17	57	2019	0	0	1
14	42	10	17	57	2019	0	0	1
14	39	10	17	57	2020	606793.74	12378.24	2
14	42	10	17	57	2020	606793.74	12378.24	2
14	39	10	17	57	2021	3094.56	0	1
14	42	10	17	57	2021	3094.56	0	1
19	87	10	12	57	2020	752411.83	79869.26	1
19	87	10	12	57	2021	13290.7	0	1
19	87	10	16	57	2017	168171720.9	28250269.95	17
19	87	10	16	57	2018	286143148.3	46792230.47	17
19	87	10	16	57	2019	229641748.2	51862194.34	15
19	87	10	16	57	2020	0	0	11
19	87	10	16	57	2021	1868028.29	0	1
19	87	10	17	57	2018	115621.18	15750	1
19	87	10	17	57	2019	5251620.16	56425.87	2
19	87	10	17	57	2020	3757726.12	229983.98	2
19	87	10	17	57	2021	2914969.52	1920	2
21	105	10	16	57	2017	0	0	1
23	123	10	19	57	2017	5086650.62	0	3
23	123	10	19	57	2018	3448389.51	0	2
23	123	10	19	57	2019	16458521.15	650930.95	1
23	123	10	19	57	2020	6999879.42	3633784.71	2
23	123	10	19	57	2021	4519953.44	457877.53	2
26	154	10	16	57	2017	60527329.9	15824716.11	10
26	154	10	16	57	2018	23252144.65	5347243.16	8
26	154	10	16	57	2019	18932716.37	2254455.8	5
26	154	10	16	57	2020	0	0	3
10	10	11	10	57	2017	98793518.88	27300369.69	14
10	10	11	10	57	2018	24352903.27	5705182.18	8
10	10	11	10	57	2019	8772118.7	5139729.66	6
10	10	11	10	57	2020	24384021.08	3397643.88	7
10	10	11	10	57	2021	31948833.98	7080738.26	7
10	10	11	11	57	2017	0	0	1
10	10	11	11	57	2018	0	0	1
10	10	11	12	57	2020	46067337.77	12746187.6	5
10	10	11	12	57	2021	4690246.66	101489.74	5
10	10	11	14	57	2019	491022	0	1
10	10	11	14	57	2020	18362051.29	0	11
10	10	11	14	57	2021	68209421.92	26870885.34	7
10	10	11	15	57	2019	57990800	0	1
10	10	11	15	57	2020	70231818.08	0	1
10	10	11	16	57	2017	206885.49	113905.61	2
10	10	11	16	57	2018	64575.84	0	2
10	10	11	16	57	2020	0	0	1
10	10	11	17	57	2017	0	0	2
10	10	11	17	57	2018	36478718.28	8167752.66	3
10	10	11	17	57	2019	18776660.14	291813.82	1
10	10	11	17	57	2020	35286756.62	7375533.53	5
10	10	11	17	57	2021	25564812.76	693155.56	2
10	10	11	19	57	2017	25216788.1	1713135.3	10
10	10	11	19	57	2018	1412713.63	0	7
10	10	11	19	57	2019	2985891.41	139279.5	6
10	10	11	19	57	2020	708386.26	14267.68	3
10	10	11	19	57	2021	864714.49	478058.68	1
11	15	10	12	58	2020	50638.22	4210.1	5
11	15	10	12	58	2021	3166.12	0	5
11	13	10	16	58	2018	999175	452350.64	2
11	15	10	16	58	2018	231753.78	26933.54	3
11	13	10	16	58	2019	421597.85	269040	1
11	15	10	16	58	2019	0	0	2
11	15	10	19	58	2017	61238.75	16531.31	2
12	20	10	12	58	2020	246977.85	25090.78	19
12	21	10	12	58	2020	115003.79	7620.13	8
12	20	10	12	58	2021	21038	0	19
12	21	10	12	58	2021	6553.67	0	5
12	20	10	14	58	2021	3049.13	1149.13	2
12	20	10	16	58	2018	514374.89	100844.7	11
12	21	10	16	58	2018	2743224.27	632450.89	9
12	20	10	16	58	2019	390710.74	65554.13	13
12	21	10	16	58	2019	279591.95	79914.7	7
12	20	10	17	58	2018	47077.55	13346.4	1
12	21	10	17	58	2018	47917.46	1680	1
12	20	10	19	58	2017	194774.41	65705.93	9
12	21	10	19	58	2017	107841.86	59125.86	4
13	29	10	12	58	2020	13690	490	1
13	31	10	12	58	2020	4953.24	1720.92	2
13	29	10	12	58	2021	490	0	1
13	31	10	12	58	2021	953.24	0	2
13	31	10	16	58	2018	173200	0	2
13	29	10	16	58	2019	23280.24	1590.4	1
13	31	10	16	58	2019	48000	12000	2
14	39	10	12	58	2020	57423.49	6343.49	2
14	41	10	12	58	2020	443270.01	157160.01	5
14	42	10	12	58	2020	15460	2880	1
14	43	10	12	58	2020	29659.97	2731.97	6
14	39	10	12	58	2021	4423.49	0	2
14	41	10	12	58	2021	36329.01	0	5
14	42	10	12	58	2021	960	0	1
14	43	10	12	58	2021	2731.97	0	5
14	41	10	14	58	2021	2800	2800	2
14	43	10	14	58	2021	5000	0	1
14	39	10	16	58	2017	6798271.94	2527936.26	3
14	42	10	16	58	2017	10410432.34	5253932.52	4
14	39	10	16	58	2018	5347539.88	2981707.64	7
14	41	10	16	58	2018	2020850	919701.28	5
14	42	10	16	58	2018	9515698.44	4982364.53	9
14	39	10	16	58	2019	4249792.2	2451039.52	5
14	41	10	16	58	2019	937298.2	550371.57	6
14	42	10	16	58	2019	5785131.58	4442710.8	9
14	39	10	16	58	2020	0	0	2
14	39	10	17	58	2020	7.3	0	1
14	42	10	17	58	2020	3375	1636.4	2
14	39	10	17	58	2021	7.3	0	1
14	42	10	17	58	2021	409.1	0	2
14	39	10	19	58	2017	70098	36773.47	4
14	41	10	19	58	2017	629170.77	324638.41	2
14	42	10	19	58	2017	95684.9	26986.36	4
14	43	10	19	58	2017	21518.84	586.75	1
15	50	10	19	58	2017	16390	9002.07	1
16	61	10	12	58	2020	14990.4	8971.2	2
16	61	10	12	58	2021	2990.4	0	2
16	61	10	16	58	2019	41683.9	10063.2	1
17	68	10	12	58	2020	68799.15	3413.2	2
17	68	10	12	58	2021	3413.2	0	2
17	68	10	16	58	2018	499222.12	72037.1	7
17	68	10	16	58	2019	277617	65126.12	6
17	68	10	19	58	2017	17546.91	4647.19	1
18	79	10	16	58	2018	79600	24000	2
18	79	10	16	58	2019	25600	3200	2
18	79	10	19	58	2017	18900	13500	1
19	84	10	12	58	2020	28691.08	1220.04	2
19	87	10	12	58	2020	376752.88	74477.71	24
19	84	10	12	58	2021	1220.04	0	2
19	87	10	12	58	2021	59160.07	123.28	24
19	84	10	14	58	2021	3444.5	1989	2
19	87	10	14	58	2021	11645.84	4600.14	7
19	87	10	16	58	2017	35239.38	35239.38	4
19	87	10	16	58	2018	1733419.36	542115.87	25
19	84	10	16	58	2019	34617.08	6326.2	2
19	87	10	16	58	2019	845174.55	349518.11	26
19	87	10	16	58	2020	5760	3600	3
19	87	10	16	58	2021	1440	0	4
19	84	10	17	58	2018	91137.57	9976	1
19	87	10	17	58	2018	71345.11	1397.9	2
19	84	10	19	58	2017	16627.51	9386.68	1
19	87	10	19	58	2017	267301.61	92692.74	12
20	92	10	12	58	2020	18639.02	1439.02	3
20	92	10	12	58	2021	1439.02	0	3
20	92	10	14	58	2021	1000	500	1
20	92	10	16	58	2018	135193.26	7193.26	3
20	92	10	16	58	2019	80877.44	0	2
20	92	10	19	58	2017	16512.6	8988	1
21	105	10	16	58	2017	1095276.83	672031.04	1
21	105	10	16	58	2018	2579481.23	1090137.32	3
21	105	10	16	58	2019	750922.49	510869.94	3
21	105	10	19	58	2017	36086.59	17970.45	2
23	123	10	16	58	2019	24000	18000	1
23	123	10	17	58	2018	89756.1	27931.65	1
24	133	10	12	58	2020	33884.32	5593.36	3
24	133	10	12	58	2021	4381.36	0	3
25	137	10	12	58	2020	4000	0	1
25	137	10	14	58	2021	1780	1760	1
25	137	10	16	58	2019	11816.28	7040.7	1
26	158	10	12	58	2020	68585.44	2113.44	3
26	154	10	12	58	2020	6458.52	458.52	2
26	158	10	12	58	2021	2113.44	0	3
26	154	10	12	58	2021	458.52	0	1
26	154	10	16	58	2018	534454.32	50334.64	4
26	158	10	16	58	2019	12834.98	1956.89	1
26	154	10	16	58	2019	21000	0	2
26	154	10	19	58	2017	34700.03	18210.8	2
27	170	10	12	58	2020	19613.09	474.5	1
27	170	10	12	58	2020	28809.29	983.29	1
